LogID,LogEntryDate,LogEntryTime,LogEntrySeconds,LogNotes,RPM,Speed,Boost,KnockSum,Load,MAT,TPS,IPW,TimingAdv,WideBandAF,IAT,STFT,LTFT_Idle,LTFT_Cruise,LTFT_High,ActiveWGDC,Octane,Trans_Temp,OddClutchTemp,EvenClutchTemp,OddClutchPressure,EvenClutchPressure,OddClutchSlipSpeed,EvenClutchSlipSpeed,OddInputShaftSpeed,EvenInputShaftSpeed,MAF_Voltage,Airflow,STFT#2,LTFT_High#2,LTFT,LTFT_Mid#2,Cooltemp,Target_AFR,Knock_change,Custom
1,2026-09-02,14:28:42.92562,0.17939,,2156.25,32,,0,16.875,774,38.8235294117647,0,40,0,-40,,0,4.6875,0,,,,,,,,,,,,2.16783,68.75,-0.1953125,0,0,4.6875,-11,14.7,15,
2,2026-09-02,14:28:43.16042,0.41421,,2156.25,32,,0,16.875,773,38.4313725490196,0,40,14.3,-40,,0,4.6875,0,,,,,,,,,,,,2.12877,68.75,-0.78125,0,0,4.6875,-11,14.7,14,
3,2026-09-02,14:28:43.38018,0.63379,,2187.5,32,,0,21.5625,774,45.4901960784314,0,36,15.5,-40,,0,4.6875,0,,,,,,,,,,,,2.36313,106.25,-0.390625,0,0,4.6875,-11,14.7,1,
4,2026-09-02,14:28:43.66156,0.91082,,2218.75,34,,2,24.375,773,52.9411764705882,0,30,13.7,-40,,0,4.6875,0,,,,,,,,,,,,2.40219,106.25,-0.1953125,0,0,4.6875,-11,14.7,1,
5,2026-09-02,14:28:43.88021,1.13772,,2312.5,34,,2,23.75,773,52.5490196078431,0,31,14.4,-40,,0,4.6875,0,,,,,,,,,,,,2.36313,106.25,-0.9765625,0,0,4.6875,-11,14.7,21,
6,2026-09-02,14:28:44.09995,1.35126,,2343.75,36,,2,23.4375,774,51.7647058823529,0,32,15,-40,,0,4.6875,0,,,,,,,,,,,,2.44125,112.5,-1.5625,0,0,4.6875,-11,14.7,17,
7,2026-09-02,14:28:44.33489,1.59215,,2406.25,36,,1,26.25,774,58.0392156862745,0,29,14.9,-40,,0,4.6875,0,,,,,,,,,,,,2.63655,131.25,-2.9296875,0,0,4.6875,-11,14.7,27,
8,2026-09-02,14:28:44.56922,1.81884,,2500,36,,1,30,773,65.4901960784314,0,27,15.5,-40,,0,4.6875,0,,,,,,,,,,,,2.57796,143.75,-1.953125,0,0,4.6875,-11,14.7,18,
9,2026-09-02,14:28:44.85174,2.10676,,2593.75,38,,1,28.75,774,63.5294117647059,0,28,15.6,-40,,0,4.6875,0,,,,,,,,,,,,2.65608,143.75,-0.390625,0,0,4.6875,-11,14.7,9,
10,2026-09-02,14:28:45.07089,2.3181,,2687.5,38,,0,28.125,773,62.3529411764706,0,31,14.8,-40,,0,4.6875,0,,,,,,,,,,,,2.55843,150,0.78125,0,0,4.6875,-11,14.7,36,
11,2026-09-02,14:28:45.30522,2.55592,,2781.25,38,,0,27.8125,774,61.9607843137255,0,31,14.2,-40,,0,4.6875,0,,,,,,,,,,,,2.59749,150,1.171875,0,0,4.6875,-11,14.7,12,
12,2026-09-02,14:28:45.55598,2.80552,,2843.75,42,,0,27.5,774,61.9607843137255,0,31,14.7,-40,,0,4.6875,0,,,,,,,,,,,,2.61702,156.25,0.390625,0,0,4.6875,-11,14.7,17,
13,2026-09-02,14:28:45.79112,3.04507,,2937.5,42,,0,27.1875,773,61.1764705882353,0,32,14.8,-40,,0,4.6875,0,,,,,,,,,,,,2.67561,156.25,0.5859375,0,0,4.6875,-11,14.7,12,
