LogID,LogEntryDate,LogEntryTime,LogEntrySeconds,LogNotes,RPM,Speed,Boost,KnockSum,Load,MAT,TPS,IPW,TimingAdv,WideBandAF,IAT,STFT,LTFT_Idle,LTFT_Cruise,LTFT_High,ActiveWGDC,Octane,Trans_Temp,OddClutchTemp,EvenClutchTemp,OddClutchPressure,EvenClutchPressure,OddClutchSlipSpeed,EvenClutchSlipSpeed,OddInputShaftSpeed,EvenInputShaftSpeed,MAF_Voltage,Airflow,STFT#2,LTFT_High#2,LTFT,LTFT_Mid#2,Cooltemp,Target_AFR,Knock_change,Custom
1,2026-09-02,13:54:34.49370,0.29872,,0,0,,0,0,775,81.1764705882353,0,61,0,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
2,2026-09-02,13:54:34.66554,0.48215,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
3,2026-09-02,13:54:34.79052,0.5982,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
4,2026-09-02,13:54:34.91641,0.72616,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
5,2026-09-02,13:54:35.02542,0.84154,,0,0,,0,0,774,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
6,2026-09-02,13:54:35.15125,0.96146,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
7,2026-09-02,13:54:35.27588,1.09125,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
8,2026-09-02,13:54:35.38606,1.1956,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
9,2026-09-02,13:54:35.47955,1.29555,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
10,2026-09-02,13:54:35.58936,1.40079,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
11,2026-09-02,13:54:35.69875,1.50654,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
12,2026-09-02,13:54:35.80806,1.62545,,0,0,,0,0,776,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
13,2026-09-02,13:54:35.91797,1.72709,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
14,2026-09-02,13:54:36.01170,1.82519,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
15,2026-09-02,13:54:36.12182,1.92515,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
16,2026-09-02,13:54:36.21584,2.0294,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
17,2026-09-02,13:54:36.32518,2.13967,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
18,2026-09-02,13:54:36.45016,2.25924,,0,0,,0,0,774,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
19,2026-09-02,13:54:36.54342,2.35931,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
20,2026-09-02,13:54:36.68555,2.49364,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
21,2026-09-02,13:54:36.82619,2.63746,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
22,2026-09-02,13:54:36.96679,2.77045,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
23,2026-09-02,13:54:37.10798,2.91815,,0,0,,0,0,775,81.1764705882353,0,61,99.9,-40,,0.78125,5.078125,,,,,,,,,,,,,1.1718,0,0,0,0.78125,5.078125,64,14.7,0,
